2020-10-20 22:31:29.147 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:341b0b08-1c12-4590-9345-e83fd4add080, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.225 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:341b0b08-1c12-4590-9345-e83fd4add080, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.300 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7c1e7858-d795-42b2-bc7d-debb4a3ccb37, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.300 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7c1e7858-d795-42b2-bc7d-debb4a3ccb37, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.330 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c4059e97-04fd-4de1-8f9d-9ea61c83d7e7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.330 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c4059e97-04fd-4de1-8f9d-9ea61c83d7e7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.377 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:923a3135-f44f-4b2c-ae0f-75539052893d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.377 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:923a3135-f44f-4b2c-ae0f-75539052893d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.917 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0eb2526-e84e-45b1-854c-70010c8108aa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.917 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0eb2526-e84e-45b1-854c-70010c8108aa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:29.942 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a16341ad-bc4b-41a0-9d22-f854cf2e6708, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
