#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-11 23:23:17.197 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c3ec8b28-39f8-4c8a-bada-c29a342a2cd7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:false, authenticationCookie is null, IP:127.0.0.1.
2020-11-11 23:23:17.329 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c6e3a152-cef7-409d-ad64-33fe0d836858, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:false, authenticationCookie is null, IP:127.0.0.1.
2020-11-11 23:23:17.482 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b34f676c-3396-4dea-b427-89d91b5cdab6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:false, authenticationCookie is null, IP:127.0.0.1.
2020-11-11 23:23:17.730 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:64e4f49c-15c9-4290-a23d-943390f80b21, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:false, authenticationCookie is null, IP:127.0.0.1.
2020-11-11 23:23:17.968 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:64e4f49c-15c9-4290-a23d-943390f80b21, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-11 23:23:18.887 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4b795ca8-41ca-4a40-9f83-71cf8ad814cd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:18.887 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4b795ca8-41ca-4a40-9f83-71cf8ad814cd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.002 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:893c72c2-9cfa-4411-8580-deb4f8b450df, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.002 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:893c72c2-9cfa-4411-8580-deb4f8b450df, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d9414ff6-3c96-487b-8cff-c07a8979449e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d9414ff6-3c96-487b-8cff-c07a8979449e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:56ae351d-3980-47ec-8803-4a01e84a585b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:56ae351d-3980-47ec-8803-4a01e84a585b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:96d37e49-dd40-4c41-b2c9-027939c29127, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:96d37e49-dd40-4c41-b2c9-027939c29127, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ef29eb8b-7922-4191-adc8-5c19432fb7b3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ef29eb8b-7922-4191-adc8-5c19432fb7b3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.372 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:712d44da-8631-470a-bfd7-6f137c8365d4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.372 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:712d44da-8631-470a-bfd7-6f137c8365d4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.835 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:495f1487-c6cd-4ac5-b9db-a1d7bb5e9e90, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.835 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:495f1487-c6cd-4ac5-b9db-a1d7bb5e9e90, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.858 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:495f1487-c6cd-4ac5-b9db-a1d7bb5e9e90, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-11 23:23:19.936 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-11 23:23:19.951 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.951 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.005 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3bbb906d-77b7-4958-8db1-464d6e456753, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.005 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3bbb906d-77b7-4958-8db1-464d6e456753, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
